Fileme,X,Rep,SB,GC,Day,Entry,Plant,Rep_SB_Day_Entry_Plant,Name,Country,Region,MG,Diversity,Stem,Cluster,Seed_weight,Shoot_weight,Root_weight,TRL,PRL,SRL,MSL,SRL_LRB,SL_PL,MED,MAX,LED,PER,DIA,VOL,PRA,TRLUpper,TRLLower,CVA,DEP,WID,WDR,NWA,RHZO,LRB,NLR,IRB,Area,TRAUpper,TRALower,SOL,BSH,CM,CMT,CMM,CMB,CP,CPT,CPM,CPB,Median_angle,Mean_angle
KGF_Rep6_SB12_Day6_132_2,Rep6_SB12_132_2,6,12,2,6,132,2,6_12_6_132_2,PI430596,China,Fujian,2,Landrace,S,6,,,,137.2511392,,105.26,,1.854745125,1.656708741,1,10,2.944805195,217.94722,0.242371274,,,99.77,33.88,118.29265,29.51,7.97,0.27007794,1.3478,2218.87125,74,71,71,12.9425875,9.1578,3.567,0.0114,10,0.20454546,0.177826939,0.439094638,1,0.360766249,0.20122333,0.486982553,1,90,95.29166667
KGF_Rep7_SB14_Day6_132_1,Rep7_SB14_132_1,7,14,2,6,132,1,7_14_6_132_1,PI430596,China,Fujian,2,Landrace,S,6,,,,81.85205181,21.89699563,59.95505618,0.832709114,1.364200864,3.288122316,1,8,1.07989308,143.8475506,0.152036323,50.03247076,9.708358159,40.85393258,37.83146067,40.43757101,20.28089888,3.617977528,0.178393352,0.902032572,1305.994382,60,81,83,4.679727938,2.330387577,2.159449564,0.0223,8,0.307112069,0.218947408,0.445481724,0.707282004,0.396010488,0.221882086,0.484753204,0.83877551,78,113.7916667
KGF_Rep7_SB14_Day6_132_2,Rep7_SB14_132_2,7,14,2,6,132,2,7_14_6_132_2,PI430596,China,Fujian,2,Landrace,S,6,,,,100.2529646,21.36532418,78.88764045,1.232619382,1.518984313,2.995508023,,10,1.732052897,179.9459213,0.153316419,46.88195425,9.395031786,61.80898876,35.68539326,47.80362328,19.52808989,4.775280899,0.244533947,1.10554223,1634.515449,66,74,78,5.502367125,3.197449817,2.128519126,0.0231,5,0.256243305,0.183825772,0.443036899,0.761239308,0.391043832,0.204534403,0.495092676,0.890408461,64,100.1666667
KGF_Rep1_SB1_Day6_159_1,Rep1_SB1_159_1,1,1,1,6,159,1,1_1_6_159_1,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,45.24111296,18.47964507,26.76146789,1.338073394,2.056414225,1.082271869,1,4,0.932387312,77.88499083,0.122207301,81.25780564,10.87671679,20.49541284,21.98165138,49.63908762,17.48623853,5.605504587,0.320566632,0.406110597,739.3142202,22,22,25,5.339186516,2.520494908,2.566871475,0.0082,4,0.297269812,0.285694847,0.360104476,0.999055267,0.366934341,0.251470778,0.367771105,0.999055267,,
KGF_Rep1_SB1_Day6_159_2,Rep1_SB1_159_2,1,1,1,6,159,2,1_1_6_159_2,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,41.02173172,18.50797026,22.51376147,0.776336602,1.709238822,1.566892512,1,3,1.533376123,61.73788073,0.110278913,66.98690749,9.815064196,21.91743119,14.29357798,33.8556098,16.11009174,6.119266055,0.379840547,0.354431445,617.9162844,24,33,34,4.493256039,2.373369245,1.783856578,0.0105,3,0.250676534,0.236707488,0.392981032,0.814388372,0.366926287,0.248897599,0.405438511,0.868038543,,
KGF_Rep2_SB4_Day6_159_1,Rep2_SB4_159_1,2,4,2,6,159,1,2_4_6_159_1,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,82.99435338,21.06231454,61.93203883,1.821530554,2.184061931,1.614257537,1,9,3.842931937,130.9663398,0.165780286,63.32305081,10.26458914,64.13592233,16.68932039,78.98284475,19.67961165,7.854368932,0.399111988,0.7926289,1410.774272,38,45,44,6.50812989,4.699877463,1.664058818,0.01,9,0.163873028,0.153204782,0.389845429,1,0.305915587,0.200490633,0.399414851,1,90,66.54166667
KGF_Rep2_SB4_Day6_159_2,Rep2_SB4_159_2,2,4,2,6,159,2,2_4_6_159_2,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,83.00953291,22.04836786,60.96116505,1.847308032,2.075238323,1.496709426,1,9,3.421303657,131.2273786,0.173831088,79.53620374,11.05998153,62.67961165,18.32038835,89.30082948,20.24271845,8.155339806,0.402877698,0.788481478,1436.417476,40,44,44,6.895748892,5.102365916,1.709114902,0.0088,9,0.184199909,0.17231829,0.382510534,0.999528524,0.315774435,0.214233328,0.397487708,0.999528524,90,59.125
KGF_Rep3_SB6_Day6_159_1,Rep3_SB6_159_1,3,6,2,6,159,1,3_6_6_159_1,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,131.1286623,27.17866233,103.95,2.121428571,2.185477705,1.802884903,1,13,3.358509911,216.79824,0.241395948,,,98.27,29.26,222.41155,23.19,15.57,0.671410091,1.2838,2365.6275,60,59,59,13.552425,10.0228,3.312,0.0058,13,0.270025952,0.251308668,0.451559114,0.891350585,0.477102007,0.228409478,0.474152192,0.9063689,90,79.16666667
KGF_Rep3_SB6_Day6_159_2,Rep3_SB6_159_2,3,6,2,6,159,2,3_6_6_159_2,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,90.45959595,24.65959595,65.8,2.268965517,2.512766554,1.176012781,1,8.02,2.72172043,137.31781,0.173160221,110.6672351,14.76956954,63.28,23.25,176.31835,22.27,15.41,0.691962281,0.8815,1551.7425,36,40,40,9.1150125,6.2754,2.5515,0.005,8.02,0.23292545,0.212540188,0.395962443,0.99958368,0.35069913,0.203708448,0.434832084,0.99958368,90,48.95833333
KGF_Rep4_SB8_Day6_159_1,Rep4_SB8_159_1,4,8,2,6,159,1,4_8_6_159_1,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,154.4327236,25.29113064,129.1415929,2.935036203,2.413011306,1.739740332,1,18,6.073584126,257.7394159,0.140397103,104.4814519,13.48973166,130.0176991,21.40707965,235.6944945,22.24778761,20,0.898965792,1.34004229,2711.19469,64,64,63,12.59422234,10.33064453,2.144725507,0.0057,18,0.14465249,0.130590174,0.407476854,0.999602702,0.336755517,0.190450392,0.458463401,0.999602702,90,77.54166667
KGF_Rep4_SB8_Day6_159_2,Rep4_SB8_159_2,4,8,2,6,159,2,4_8_6_159_2,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,130.2830888,26.778664,103.5044248,2.029498525,2.605661776,1.904501285,1,12,4.448003014,221.0562035,0.160685021,140.7524049,15.43904943,104.4690265,23.48672566,201.7091393,24.71681416,15.31858407,0.619763695,1.135249432,2328.757743,50,62,62,10.42983985,7.93977602,2.363928264,0.0056,12,0.178695557,0.161547426,0.408445078,0.767323944,0.336309031,0.189210262,0.441160119,0.867957746,90,90.79166667
KGF_Rep5_SB9_Day6_159_1,Rep5_SB9_159_1,5,9,1,6,159,1,5_9_6_159_1,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,39.83452866,16.33452866,23.5,1.305555556,2.845323476,1.101960171,1,5,1.323049002,72.20363462,0.239930249,111.8321009,11.34993293,21.02884615,15.89423077,42.17871672,14.97115385,5.115384615,0.341682723,0.370747041,704.5396635,14,18,19,5.558085244,3.171412722,2.125832101,0.0088,5,0.285608549,0.260969157,0.34855948,0.980872532,0.435669119,0.222343206,0.35181959,0.988095238,90,28.29166667
KGF_Rep5_SB9_Day6_159_2,Rep5_SB9_159_2,5,9,1,6,159,2,5_9_6_159_2,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,43.3144973,19.27603576,24.03846154,1.045150502,2.165724865,1.193191395,1,2,2.146816479,71.70413462,0.230422547,134.2419446,13.12753528,27.55769231,12.83653846,52.85808062,17.95192308,5.538461538,0.308516336,0.405510355,704.5805288,20,25,26,5.658180011,3.488443047,1.888868343,0.0077,2,0.193027902,0.190042752,0.336097561,0.995691057,0.338197243,0.234428755,0.336097561,0.996097561,90,37.375
KGF_Rep6_SB11_Day6_159_1,Rep6_SB11_159_1,6,11,1,6,159,1,6_11_6_159_1,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,35.43989511,18.32382369,17.11607143,0.713169643,1.771994756,1.309770297,1,2,1.954620462,63.82439286,0.14528268,36.27908391,7.290478487,21.15178571,10.82142857,33.73238202,15.91071429,7.285714286,0.457912458,0.295440051,610.53125,20,25,26,3.011928013,1.632573342,1.235331633,0.0088,2,0.144076083,0.143629631,0,0.999478895,0.233954316,0.200670639,0,0.999478895,2,0
KGF_Rep6_SB11_Day6_159_2,Rep6_SB11_159_2,6,11,1,6,159,2,6_11_6_159_2,PI438139,China,Northeast Chi,2,Landrace,N,2,,,,35.68110183,18.88645897,16.79464286,0.671785714,1.274325065,1.323699696,1,2,1.621659634,64.95089286,0.130447396,31.4233773,7.094880284,20.58928571,12.69642857,29.90676818,17.28571429,4.803571429,0.277892562,0.304528061,630.9274554,28,29,28,2.730717873,1.456792092,1.177774235,0.0102,2,0.150686861,0.140715516,0.356345737,0.999508358,0.245840708,0.164891292,0.363077679,0.999508358,90,39.125
